"adduct","mz"
"M-","5e-04"
"(M-H)-","-1.0073"
"(M-H2O-H)-","-19.0179"
"(M+Na-2H)-","20.9747"
"(M+K-2H)-","36.9486"
"(M+NH4-2H)-","16.0193"
"(2M-H)-","-1.0073"
"(M+CH3COO)-","59.0138"
