name,nmol,charge,massdiff,oidscore,quasi,ips
[M-H]-,1,-1,-1.007276,1,1,1
[M+Cl]-,1,-1,34.969402,2,1,1
[M-2H+Na]-,1,-1,20.974666,3,0,0.25
[M-2H+K]-,1,-1,36.948606,4,0,0.25
[M-H+CH3CN]-,1,-1,40.01872,5,0,0.5
[M+Cl+NH3]-,1,-1,51.995952,6,0,0.5
[M-H+NH3]-,1,-1,16.019274,7,0,0.5
[M-H-H20]-,1,-1,-19.022576,8,0,0.25
[M-2H]2-,1,-2,-2.014552,9,0,0.25
[M+CH3COO]-,1,-1,59.0133,10,1,1
[2M-H]-,1,-1,-1.007276,1,1,1
